"","season","season_avg","season_obp","season_slg","season_ops","num_hr","hr_rate","bb_pct","k_pct","bb_k_ratio","sac_rate","three_true"
"1",1871,0.287,NA,0.384,NA,47,0.00419081587160054,0.0350423539901917,0.0156041016495765,2.24571428571429,NA,0.0548372715113687
"2",1872,0.286,NA,0.347,NA,35,0.00219766419691071,0.015509230189627,0.0158231822177571,0.98015873015873,NA,0.0335300766042949
"3",1873,0.29,NA,0.355,NA,46,0.00265957446808511,0.0186170212765957,0.0140494912118409,1.32510288065844,NA,0.0353260869565217
"4",1874,0.274,NA,0.333,NA,40,0.00206825232678387,0.0122026887280248,0.0178386763185109,0.684057971014493,NA,0.0321096173733195
"5",1875,0.254,NA,0.31,NA,40,0.001476995790562,0.00919429879624843,0.0249243039657337,0.368888888888889,NA,0.0355955985525441
"6",1876,0.265,NA,0.321,NA,40,0.00195532091704551,0.0164246957031823,0.0287921005034951,0.570458404074703,NA,0.0471721171237229
"7",1877,0.271,NA,0.338,NA,24,0.00171281758492721,0.0246217527833286,0.051812731944048,0.475206611570248,NA,0.0781473023123037
"8",1878,0.259,NA,0.319,NA,23,0.00164191890348372,0.0259851513420902,0.077170188463735,0.33672525439408,NA,0.104797258709309
"9",1879,0.255,NA,0.329,NA,58,0.0023517009285164,0.020597656408385,0.0747273243319953,0.27563754747694,NA,0.0976766816688967
"10",1880,0.245,NA,0.32,NA,62,0.00247593945928677,0.0295515354818098,0.0795894732638473,0.371299548419468,NA,0.111616948204944
"11",1881,0.26,NA,0.338,NA,76,0.0029909484454939,0.0406532861078316,0.0702085792994884,0.579035874439462,NA,0.113852813852814
"12",1882,0.248,NA,0.33,NA,178,0.00411751098774,0.0367568817950497,NA,NA,NA,NA
"13",1883,0.257,NA,0.345,NA,238,0.00396679889329644,0.0387679589319644,NA,NA,NA,NA
"14",1884,0.245,NA,0.33,NA,682,0.00614525139664804,0.0432059830600108,NA,NA,NA,NA
"15",1885,0.244,NA,0.325,NA,323,0.00485094240444545,0.0530149433055493,NA,NA,NA,NA
